id,paranoia_score,paranoia_group,kappa,mu02,mu03,omega2,omega3
A2OGF317RQ2GJX,0,low,0.502187965,-0.003354575,1.100806935,0.040223781,-1.160434602
A5YVMQWA2IYPF,0.388888889,low,0.443736031,-0.172479118,-0.173290136,2.61387396,-0.672274733
A55TVOL4JWIAY,2.235294118,high,0.552060789,0.04761149,0.683172538,0.757242431,-0.652525765
A1T3ROSW2LC4FG,0,low,0.485058339,-0.222305978,-0.589545068,1.082606784,0.689346648
A2NXMRPHG86N2T,0,low,0.519998524,-0.347034549,-1.12538051,1.15346362,0.247718994
A3DGJYQPEQBCEK,2.555555556,high,0.609358406,0.001701521,1.005913735,-1.690454912,-1.975570511
A19UBZFVUWL1ES,0,low,0.415574977,-0.963723319,-2.187108423,1.404609054,-0.449905546
A3LRZX8477TYYZ,0,low,0.487082386,-0.170176518,-0.734084136,1.397499701,0.693249927
ACKG8OU1KHKO2,0.722222222,low,0.461389521,-0.410646707,-1.186674802,1.708035823,-0.2048171
A3JC9VPPTHNKVL,0.777777778,low,0.553217264,-0.467111513,-0.661675795,0.147003028,-1.266711509
A1ELPYAFO7MANS,0.166666667,low,0.64327563,-0.240603418,0.797519928,-0.870053164,-1.739235399
A3609GDWR2JCCA,0.222222222,low,0.430398445,-0.192111186,-3.140542132,0.905308894,-0.936839801
A22DTDEFYRTE45,0.444444444,low,0.473140631,-0.19220588,-0.105153473,1.868321615,-0.547125692
A3CI73EFDLS3OF,0,low,0.638617306,-0.271011999,0.884568754,-0.925512005,-1.787656034
A1FLNAFLLO3UPK,0.055555556,low,0.450621148,-1.084680573,-2.981280725,0.257467738,-0.986156579
A7UAEO1A6LMXG,2.764705882,high,0.589885172,0.075463616,0.534493818,-0.151744583,-0.877723073
A1F6MWP9A0XLJQ,0.222222222,low,0.491223448,-0.069293568,-1.364471769,1.187388848,0.975349432
ALXW2ZXX4SJRO,0.777777778,high,0.464212208,-0.442711843,-0.923515307,1.857207589,-0.583424265
A3RR85PK3AV9TU,0,low,0.464515205,-0.19719952,-0.883679961,0.830015206,1.535070965
A33WN2YJ7KRQBU,0.166666667,low,0.577587352,-0.175006893,0.356975131,-0.164092739,-0.807178444
A31Z5TPD8QKE26,0,low,0.514405326,-0.022213721,-0.869982222,1.864101655,0.079806865
A3KC26Z78FBOJT,0.388888889,low,0.551506669,0.016414879,-0.255954296,1.28787716,-0.58575737
A22KRF782ELLB0,0.277777778,low,0.434556835,-0.88789262,-3.318077147,0.341642874,-1.415457025
A9IVKB32DAYBS,0.333333333,low,0.540059973,-0.052205322,0.286637342,0.827117248,-0.554343377
APDDA1Y59RHV9,0.222222222,low,0.439583454,0.001440049,-1.015045697,1.966789133,-0.973579981
A339YQ2DS0BS8R,0.111111111,low,0.487418054,-0.114608128,-1.668536466,1.340550703,-0.217256471
A2L26DMSVUEDP6,1.111111111,high,0.364750205,-0.088478619,-0.793177935,2.583275458,0.480913277
A1Q56N80RJLQ7S,0,low,0.725433641,-0.539598078,2.314850236,0.340141059,-1.985717052
AAS0V105QISPM,0,low,0.45925228,-0.387840038,-2.564098052,0.457265628,-0.365762392
