id,paranoia_score,paranoia_group,kappa,mu02,mu03,omega2,omega3
A12EJQCFEXP9GH,0.611111111,low,0.44814588,-0.43061218,-2.968299543,0.467594312,-1.173001546
A146MSML39KY98,1.055555556,low,0.397885325,-0.104090524,0.247646797,2.424997289,0.844233719
A171UXH8M8F6HS,0.055555556,low,0.447724575,-0.089272907,-1.499252031,1.204099167,-0.041593392
A17T6TVHCLK3MH,0,low,0.414917496,0.069597636,0.578598945,2.772852357,-0.9272557
A17UAKCB96FS18,2.611111111,high,0.612252648,-0.001491542,1.005897394,-1.6619011,-1.959486975
A1A0MAFUY61BV0,3.111111111,high,0.616233287,-0.023091478,1.004123028,-1.502534997,-1.945601992
A1DIOT6SG0NJU6,0.111111111,low,0.396831466,-0.040434446,-0.671094568,2.267778852,-0.327544747
A1DZMZTXWOM9MR,0,low,0.631596123,-0.001391151,0.963680691,-1.114238697,-1.875540009
A1FEHUFS6BABEX,0.111111111,low,0.448611628,0.225853208,-1.336546204,1.77826248,-0.959126257
A1FJ9EGNO1DF60,1.555555556,high,0.559915469,-0.029546039,0.702925122,0.199178935,-0.775630769
A1FUR4UJ0S46W6,0.388888889,low,0.439215573,-0.960245248,-2.834881279,0.504293672,-0.876217177
A1H2UHJ78F185L,1.111111111,high,0.623467131,-0.132300585,0.938496357,-1.351461739,-1.915776238
A1HMO9XPRPUPWJ,0.666666667,low,0.434807318,0.01803854,-2.121392124,1.48624752,-0.456014785
A1K8VUKRL53OX,2.611111111,high,0.633446474,-0.013498559,0.99378547,-1.111563885,-1.869047201
A1NCO5A4JYHGKQ,0.222222222,low,0.46483482,-0.049640017,-0.638854614,1.656624167,-0.035198777
A1NR3COO33J99C,0.166666667,low,0.486771865,0.006236853,0.236665038,1.535558786,-0.788484471
A1PL4QW6IPULOX,0.388888889,low,0.497803242,-0.283951518,-1.680898535,1.121356866,-0.079746296
A1PTX4IB9R34LI,0,low,0.601901504,0.001579308,0.998199446,-1.961053968,-1.996748411
A1Q6VY3C3CEOA0,0.111111111,low,0.554510919,-0.171174845,-1.111273924,-0.515291417,-0.690880875
A1V3I0EG3DVY29,0.277777778,low,0.429477314,0.176199253,-1.036585508,2.189964302,-1.167787788
A1VRG5HKZC0H0C,0.111111111,low,0.390917576,-0.557928382,-3.7607194,1.420866668,-1.167453062
A20X14OMRL0YPZ,0,low,0.54481796,-0.538265051,-0.890144755,-0.271737721,-1.697241721
